#{"t_start": 1764101459.2492373, "env_id": "CartPole-v1"}
r,l,t
21.0,21,1.205871
26.0,26,1.223552
15.0,15,1.234058
26.0,26,1.252125
28.0,28,1.270492
14.0,14,1.279882
15.0,15,1.290072
25.0,25,1.307864
18.0,18,1.321389
32.0,32,1.343097
18.0,18,1.35507
13.0,13,1.364869
23.0,23,1.447629
14.0,14,1.460337
21.0,21,1.475562
19.0,19,1.489335
27.0,27,1.509135
23.0,23,1.525722
11.0,11,1.533872
16.0,16,1.545128
25.0,25,1.563332
12.0,12,1.572161
20.0,20,1.587623
19.0,19,1.601563
15.0,15,1.612507
27.0,27,1.668542
13.0,13,1.677402
15.0,15,1.693148
18.0,18,1.71199
15.0,15,1.726418
37.0,37,1.755224
16.0,16,1.768548
32.0,32,1.802723
23.0,23,1.825364
22.0,22,1.84466
72.0,72,1.934164
14.0,14,1.947472
11.0,11,1.958065
50.0,50,2.006742
13.0,13,2.019268
20.0,20,2.03861
81.0,81,2.117409
25.0,25,2.135883
10.0,10,2.142928
66.0,66,2.232502
13.0,13,2.241883
24.0,24,2.258702
16.0,16,2.270121
15.0,15,2.280967
33.0,33,2.305063
33.0,33,2.328585
13.0,13,2.338445
23.0,23,2.358601
17.0,17,2.374701
19.0,19,2.418972
68.0,68,2.48384
15.0,15,2.496757
13.0,13,2.506394
34.0,34,2.531754
16.0,16,2.54347
26.0,26,2.563256
39.0,39,2.590878
66.0,66,2.663752
72.0,72,2.714654
13.0,13,2.724005
21.0,21,2.739088
15.0,15,2.749576
17.0,17,2.761409
43.0,43,2.794111
31.0,31,2.833391
34.0,34,2.893687
49.0,49,2.935654
13.0,13,2.945305
14.0,14,2.955838
21.0,21,2.971647
56.0,56,3.017159
15.0,15,3.028641
25.0,25,3.048898
17.0,17,3.061611
34.0,34,3.121236
16.0,16,3.135779
23.0,23,3.153797
13.0,13,3.163461
17.0,17,3.175908
55.0,55,3.228743
56.0,56,3.277431
11.0,11,3.287812
36.0,36,3.318604
21.0,21,3.333005
70.0,70,3.4155
14.0,14,3.425926
23.0,23,3.442455
32.0,32,3.469036
22.0,22,3.488901
23.0,23,3.509789
35.0,35,3.541392
13.0,13,3.553344
63.0,63,3.624868
89.0,89,3.688993
176.0,176,3.84198
24.0,24,3.858564
17.0,17,3.870745
77.0,77,3.931234
46.0,46,3.965392
48.0,48,3.999663
16.0,16,4.035726
72.0,72,4.084795
40.0,40,4.111897
63.0,63,4.154453
80.0,80,4.233553
42.0,42,4.262211
19.0,19,4.275283
19.0,19,4.290885
23.0,23,4.311852
57.0,57,4.352899
15.0,15,4.363688
12.0,12,4.372077
50.0,50,4.406926
51.0,51,4.475889
113.0,113,4.5564
24.0,24,4.57364
23.0,23,4.590106
60.0,60,4.660616
26.0,26,4.679406
131.0,131,4.773686
21.0,21,4.788826
19.0,19,4.803046
140.0,140,4.95177
28.0,28,4.971867
20.0,20,4.98559
38.0,38,5.011643
70.0,70,5.059739
68.0,68,5.150689
19.0,19,5.164434
17.0,17,5.176806
108.0,108,5.254267
72.0,72,5.339534
73.0,73,5.3927
52.0,52,5.430408
76.0,76,5.484523
53.0,53,5.547011
68.0,68,5.59707
22.0,22,5.613122
24.0,24,5.630568
42.0,42,5.661176
136.0,136,5.801661
96.0,96,5.886245
137.0,137,6.007569
73.0,73,6.060698
57.0,57,6.100568
152.0,152,6.235232
94.0,94,6.301805
314.0,314,6.596207
24.0,24,6.617687
113.0,113,6.784327
153.0,153,6.895054
96.0,96,7.01336
101.0,101,7.095479
70.0,70,7.148232
35.0,35,7.210511
129.0,129,7.3138
60.0,60,7.369389
87.0,87,7.472435
121.0,121,7.581429
203.0,203,7.756121
100.0,100,7.829779
143.0,143,7.952126
196.0,196,8.110997
70.0,70,8.16093
158.0,158,8.299833
37.0,37,8.325968
93.0,93,8.410499
100.0,100,8.484281
123.0,123,8.595869
109.0,109,8.672258
332.0,332,8.983567
393.0,393,9.30171
282.0,282,9.529997
284.0,284,9.794164
280.0,280,10.053763
162.0,162,10.167186
287.0,287,10.402904
451.0,451,10.797605
224.0,224,11.515685
238.0,238,11.705342
154.0,154,11.814437
