timestep,reward
2.100000000000000000e+01,2.100000000000000000e+01
4.700000000000000000e+01,2.600000000000000000e+01
6.200000000000000000e+01,1.500000000000000000e+01
8.800000000000000000e+01,2.600000000000000000e+01
1.160000000000000000e+02,2.800000000000000000e+01
1.300000000000000000e+02,1.400000000000000000e+01
1.450000000000000000e+02,1.500000000000000000e+01
1.700000000000000000e+02,2.500000000000000000e+01
1.880000000000000000e+02,1.800000000000000000e+01
2.200000000000000000e+02,3.200000000000000000e+01
2.380000000000000000e+02,1.800000000000000000e+01
2.510000000000000000e+02,1.300000000000000000e+01
2.740000000000000000e+02,2.300000000000000000e+01
2.880000000000000000e+02,1.400000000000000000e+01
3.090000000000000000e+02,2.100000000000000000e+01
3.280000000000000000e+02,1.900000000000000000e+01
3.550000000000000000e+02,2.700000000000000000e+01
3.780000000000000000e+02,2.300000000000000000e+01
3.890000000000000000e+02,1.100000000000000000e+01
4.050000000000000000e+02,1.600000000000000000e+01
4.300000000000000000e+02,2.500000000000000000e+01
4.420000000000000000e+02,1.200000000000000000e+01
4.620000000000000000e+02,2.000000000000000000e+01
4.810000000000000000e+02,1.900000000000000000e+01
4.960000000000000000e+02,1.500000000000000000e+01
5.230000000000000000e+02,2.700000000000000000e+01
5.360000000000000000e+02,1.300000000000000000e+01
5.510000000000000000e+02,1.500000000000000000e+01
5.690000000000000000e+02,1.800000000000000000e+01
5.840000000000000000e+02,1.500000000000000000e+01
6.210000000000000000e+02,3.700000000000000000e+01
6.370000000000000000e+02,1.600000000000000000e+01
6.690000000000000000e+02,3.200000000000000000e+01
6.920000000000000000e+02,2.300000000000000000e+01
7.140000000000000000e+02,2.200000000000000000e+01
7.860000000000000000e+02,7.200000000000000000e+01
8.000000000000000000e+02,1.400000000000000000e+01
8.110000000000000000e+02,1.100000000000000000e+01
8.610000000000000000e+02,5.000000000000000000e+01
8.740000000000000000e+02,1.300000000000000000e+01
8.940000000000000000e+02,2.000000000000000000e+01
9.750000000000000000e+02,8.100000000000000000e+01
1.000000000000000000e+03,2.500000000000000000e+01
1.010000000000000000e+03,1.000000000000000000e+01
1.076000000000000000e+03,6.600000000000000000e+01
1.089000000000000000e+03,1.300000000000000000e+01
1.113000000000000000e+03,2.400000000000000000e+01
1.129000000000000000e+03,1.600000000000000000e+01
1.144000000000000000e+03,1.500000000000000000e+01
1.177000000000000000e+03,3.300000000000000000e+01
1.210000000000000000e+03,3.300000000000000000e+01
1.223000000000000000e+03,1.300000000000000000e+01
1.246000000000000000e+03,2.300000000000000000e+01
1.263000000000000000e+03,1.700000000000000000e+01
1.282000000000000000e+03,1.900000000000000000e+01
1.350000000000000000e+03,6.800000000000000000e+01
1.365000000000000000e+03,1.500000000000000000e+01
1.378000000000000000e+03,1.300000000000000000e+01
1.412000000000000000e+03,3.400000000000000000e+01
1.428000000000000000e+03,1.600000000000000000e+01
1.454000000000000000e+03,2.600000000000000000e+01
1.493000000000000000e+03,3.900000000000000000e+01
1.559000000000000000e+03,6.600000000000000000e+01
1.631000000000000000e+03,7.200000000000000000e+01
1.644000000000000000e+03,1.300000000000000000e+01
1.665000000000000000e+03,2.100000000000000000e+01
1.680000000000000000e+03,1.500000000000000000e+01
1.697000000000000000e+03,1.700000000000000000e+01
1.740000000000000000e+03,4.300000000000000000e+01
1.771000000000000000e+03,3.100000000000000000e+01
1.805000000000000000e+03,3.400000000000000000e+01
1.854000000000000000e+03,4.900000000000000000e+01
1.867000000000000000e+03,1.300000000000000000e+01
1.881000000000000000e+03,1.400000000000000000e+01
1.902000000000000000e+03,2.100000000000000000e+01
1.958000000000000000e+03,5.600000000000000000e+01
1.973000000000000000e+03,1.500000000000000000e+01
1.998000000000000000e+03,2.500000000000000000e+01
2.015000000000000000e+03,1.700000000000000000e+01
2.049000000000000000e+03,3.400000000000000000e+01
2.065000000000000000e+03,1.600000000000000000e+01
2.088000000000000000e+03,2.300000000000000000e+01
2.101000000000000000e+03,1.300000000000000000e+01
2.118000000000000000e+03,1.700000000000000000e+01
2.173000000000000000e+03,5.500000000000000000e+01
2.229000000000000000e+03,5.600000000000000000e+01
2.240000000000000000e+03,1.100000000000000000e+01
2.276000000000000000e+03,3.600000000000000000e+01
2.297000000000000000e+03,2.100000000000000000e+01
2.367000000000000000e+03,7.000000000000000000e+01
2.381000000000000000e+03,1.400000000000000000e+01
2.404000000000000000e+03,2.300000000000000000e+01
2.436000000000000000e+03,3.200000000000000000e+01
2.458000000000000000e+03,2.200000000000000000e+01
2.481000000000000000e+03,2.300000000000000000e+01
2.516000000000000000e+03,3.500000000000000000e+01
2.529000000000000000e+03,1.300000000000000000e+01
2.592000000000000000e+03,6.300000000000000000e+01
2.681000000000000000e+03,8.900000000000000000e+01
2.857000000000000000e+03,1.760000000000000000e+02
2.881000000000000000e+03,2.400000000000000000e+01
2.898000000000000000e+03,1.700000000000000000e+01
2.975000000000000000e+03,7.700000000000000000e+01
3.021000000000000000e+03,4.600000000000000000e+01
3.069000000000000000e+03,4.800000000000000000e+01
3.085000000000000000e+03,1.600000000000000000e+01
3.157000000000000000e+03,7.200000000000000000e+01
3.197000000000000000e+03,4.000000000000000000e+01
3.260000000000000000e+03,6.300000000000000000e+01
3.340000000000000000e+03,8.000000000000000000e+01
3.382000000000000000e+03,4.200000000000000000e+01
3.401000000000000000e+03,1.900000000000000000e+01
3.420000000000000000e+03,1.900000000000000000e+01
3.443000000000000000e+03,2.300000000000000000e+01
3.500000000000000000e+03,5.700000000000000000e+01
3.515000000000000000e+03,1.500000000000000000e+01
3.527000000000000000e+03,1.200000000000000000e+01
3.577000000000000000e+03,5.000000000000000000e+01
3.628000000000000000e+03,5.100000000000000000e+01
3.741000000000000000e+03,1.130000000000000000e+02
3.765000000000000000e+03,2.400000000000000000e+01
3.788000000000000000e+03,2.300000000000000000e+01
3.848000000000000000e+03,6.000000000000000000e+01
3.874000000000000000e+03,2.600000000000000000e+01
4.005000000000000000e+03,1.310000000000000000e+02
4.026000000000000000e+03,2.100000000000000000e+01
4.045000000000000000e+03,1.900000000000000000e+01
4.185000000000000000e+03,1.400000000000000000e+02
4.213000000000000000e+03,2.800000000000000000e+01
4.233000000000000000e+03,2.000000000000000000e+01
4.271000000000000000e+03,3.800000000000000000e+01
4.341000000000000000e+03,7.000000000000000000e+01
4.409000000000000000e+03,6.800000000000000000e+01
4.428000000000000000e+03,1.900000000000000000e+01
4.445000000000000000e+03,1.700000000000000000e+01
4.553000000000000000e+03,1.080000000000000000e+02
4.625000000000000000e+03,7.200000000000000000e+01
4.698000000000000000e+03,7.300000000000000000e+01
4.750000000000000000e+03,5.200000000000000000e+01
4.826000000000000000e+03,7.600000000000000000e+01
4.879000000000000000e+03,5.300000000000000000e+01
4.947000000000000000e+03,6.800000000000000000e+01
4.969000000000000000e+03,2.200000000000000000e+01
4.993000000000000000e+03,2.400000000000000000e+01
5.035000000000000000e+03,4.200000000000000000e+01
5.171000000000000000e+03,1.360000000000000000e+02
5.267000000000000000e+03,9.600000000000000000e+01
5.404000000000000000e+03,1.370000000000000000e+02
5.477000000000000000e+03,7.300000000000000000e+01
5.534000000000000000e+03,5.700000000000000000e+01
5.686000000000000000e+03,1.520000000000000000e+02
5.780000000000000000e+03,9.400000000000000000e+01
6.094000000000000000e+03,3.140000000000000000e+02
6.118000000000000000e+03,2.400000000000000000e+01
6.231000000000000000e+03,1.130000000000000000e+02
6.384000000000000000e+03,1.530000000000000000e+02
6.480000000000000000e+03,9.600000000000000000e+01
6.581000000000000000e+03,1.010000000000000000e+02
6.651000000000000000e+03,7.000000000000000000e+01
6.686000000000000000e+03,3.500000000000000000e+01
6.815000000000000000e+03,1.290000000000000000e+02
6.875000000000000000e+03,6.000000000000000000e+01
6.962000000000000000e+03,8.700000000000000000e+01
7.083000000000000000e+03,1.210000000000000000e+02
7.286000000000000000e+03,2.030000000000000000e+02
7.386000000000000000e+03,1.000000000000000000e+02
7.529000000000000000e+03,1.430000000000000000e+02
7.725000000000000000e+03,1.960000000000000000e+02
7.795000000000000000e+03,7.000000000000000000e+01
7.953000000000000000e+03,1.580000000000000000e+02
7.990000000000000000e+03,3.700000000000000000e+01
8.083000000000000000e+03,9.300000000000000000e+01
8.183000000000000000e+03,1.000000000000000000e+02
8.306000000000000000e+03,1.230000000000000000e+02
8.415000000000000000e+03,1.090000000000000000e+02
8.747000000000000000e+03,3.320000000000000000e+02
9.140000000000000000e+03,3.930000000000000000e+02
9.422000000000000000e+03,2.820000000000000000e+02
9.706000000000000000e+03,2.840000000000000000e+02
9.986000000000000000e+03,2.800000000000000000e+02
1.014800000000000000e+04,1.620000000000000000e+02
1.043500000000000000e+04,2.870000000000000000e+02
1.088600000000000000e+04,4.510000000000000000e+02
1.111000000000000000e+04,2.240000000000000000e+02
1.134800000000000000e+04,2.380000000000000000e+02
1.150200000000000000e+04,1.540000000000000000e+02
1.169400000000000000e+04,1.920000000000000000e+02
1.193800000000000000e+04,2.440000000000000000e+02
1.238400000000000000e+04,4.460000000000000000e+02
1.256600000000000000e+04,1.820000000000000000e+02
1.293900000000000000e+04,3.730000000000000000e+02
1.343900000000000000e+04,5.000000000000000000e+02
1.382100000000000000e+04,3.820000000000000000e+02
1.412200000000000000e+04,3.010000000000000000e+02
1.462200000000000000e+04,5.000000000000000000e+02
1.512200000000000000e+04,5.000000000000000000e+02
1.558400000000000000e+04,4.620000000000000000e+02
1.588300000000000000e+04,2.990000000000000000e+02
1.611200000000000000e+04,2.290000000000000000e+02
1.633000000000000000e+04,2.180000000000000000e+02
1.683000000000000000e+04,5.000000000000000000e+02
1.711100000000000000e+04,2.810000000000000000e+02
1.755900000000000000e+04,4.480000000000000000e+02
1.800800000000000000e+04,4.490000000000000000e+02
1.835600000000000000e+04,3.480000000000000000e+02
1.881000000000000000e+04,4.540000000000000000e+02
1.902300000000000000e+04,2.130000000000000000e+02
1.928900000000000000e+04,2.660000000000000000e+02
1.964100000000000000e+04,3.520000000000000000e+02
1.987000000000000000e+04,2.290000000000000000e+02
2.005900000000000000e+04,1.890000000000000000e+02
2.055900000000000000e+04,5.000000000000000000e+02
2.105900000000000000e+04,5.000000000000000000e+02
2.135600000000000000e+04,2.970000000000000000e+02
2.176400000000000000e+04,4.080000000000000000e+02
2.205000000000000000e+04,2.860000000000000000e+02
2.253900000000000000e+04,4.890000000000000000e+02
2.286600000000000000e+04,3.270000000000000000e+02
2.336600000000000000e+04,5.000000000000000000e+02
2.386600000000000000e+04,5.000000000000000000e+02
2.436600000000000000e+04,5.000000000000000000e+02
2.469100000000000000e+04,3.250000000000000000e+02
2.519100000000000000e+04,5.000000000000000000e+02
2.549900000000000000e+04,3.080000000000000000e+02
2.590400000000000000e+04,4.050000000000000000e+02
2.614100000000000000e+04,2.370000000000000000e+02
2.648400000000000000e+04,3.430000000000000000e+02
2.675900000000000000e+04,2.750000000000000000e+02
2.701400000000000000e+04,2.550000000000000000e+02
2.747200000000000000e+04,4.580000000000000000e+02
2.797200000000000000e+04,5.000000000000000000e+02
2.826400000000000000e+04,2.920000000000000000e+02
2.876400000000000000e+04,5.000000000000000000e+02
2.904100000000000000e+04,2.770000000000000000e+02
2.943100000000000000e+04,3.900000000000000000e+02
2.968500000000000000e+04,2.540000000000000000e+02
2.999000000000000000e+04,3.050000000000000000e+02
3.049000000000000000e+04,5.000000000000000000e+02
3.077200000000000000e+04,2.820000000000000000e+02
3.104200000000000000e+04,2.700000000000000000e+02
3.154200000000000000e+04,5.000000000000000000e+02
3.194300000000000000e+04,4.010000000000000000e+02
3.244300000000000000e+04,5.000000000000000000e+02
3.266400000000000000e+04,2.210000000000000000e+02
3.294500000000000000e+04,2.810000000000000000e+02
3.319800000000000000e+04,2.530000000000000000e+02
3.368000000000000000e+04,4.820000000000000000e+02
3.418000000000000000e+04,5.000000000000000000e+02
3.468000000000000000e+04,5.000000000000000000e+02
3.499800000000000000e+04,3.180000000000000000e+02
3.528900000000000000e+04,2.910000000000000000e+02
3.578900000000000000e+04,5.000000000000000000e+02
3.628900000000000000e+04,5.000000000000000000e+02
3.655600000000000000e+04,2.670000000000000000e+02
3.705600000000000000e+04,5.000000000000000000e+02
3.755600000000000000e+04,5.000000000000000000e+02
3.805600000000000000e+04,5.000000000000000000e+02
3.843300000000000000e+04,3.770000000000000000e+02
