#{"t_start": 1763486929.0351677, "env_id": "CartPole-v1"}
r,l,t
21.0,21,0.019781
26.0,26,0.038503
15.0,15,0.049389
26.0,26,0.068273
28.0,28,0.08907
14.0,14,0.099483
15.0,15,0.110717
25.0,25,0.129649
18.0,18,0.144182
32.0,32,0.168735
18.0,18,0.186591
13.0,13,0.196942
23.0,23,0.242948
14.0,14,0.254009
21.0,21,0.270418
19.0,19,0.285282
27.0,27,0.306802
23.0,23,0.325257
11.0,11,0.334156
16.0,16,0.34703
25.0,25,0.367115
12.0,12,0.376776
20.0,20,0.392802
19.0,19,0.408087
15.0,15,0.420198
27.0,27,0.470821
13.0,13,0.481481
15.0,15,0.493801
18.0,18,0.50874
15.0,15,0.520952
37.0,37,0.551472
16.0,16,0.565555
32.0,32,0.592727
23.0,23,0.611923
22.0,22,0.630316
72.0,72,0.718461
14.0,14,0.729841
11.0,11,0.73875
50.0,50,0.782825
13.0,13,0.793333
20.0,20,0.809418
81.0,81,0.875446
25.0,25,0.896004
10.0,10,0.904275
66.0,66,0.985605
13.0,13,0.996077
24.0,24,1.015339
16.0,16,1.028152
15.0,15,1.04017
33.0,33,1.066524
33.0,33,1.092901
13.0,13,1.103394
23.0,23,1.121771
17.0,17,1.13536
19.0,19,1.179202
68.0,68,1.233572
15.0,15,1.245677
13.0,13,1.256142
34.0,34,1.283343
16.0,16,1.296277
26.0,26,1.317138
39.0,39,1.348391
66.0,66,1.430878
72.0,72,1.488749
13.0,13,1.49928
21.0,21,1.516563
15.0,15,1.529018
17.0,17,1.543133
43.0,43,1.5786
31.0,31,1.604136
34.0,34,1.665673
49.0,49,1.710627
13.0,13,1.721081
14.0,14,1.732312
21.0,21,1.749181
56.0,56,1.79442
15.0,15,1.806444
25.0,25,1.827018
17.0,17,1.841118
34.0,34,1.897752
16.0,16,1.91073
23.0,23,1.929159
13.0,13,1.939605
17.0,17,1.953393
55.0,55,1.998506
56.0,56,2.044606
11.0,11,2.053702
36.0,36,2.083418
21.0,21,2.101086
70.0,70,2.19075
14.0,14,2.202127
23.0,23,2.22077
32.0,32,2.247097
22.0,22,2.264905
23.0,23,2.28387
35.0,35,2.312874
13.0,13,2.323725
63.0,63,2.407764
89.0,89,2.479358
176.0,176,2.660636
24.0,24,2.683488
17.0,17,2.697329
77.0,77,2.759673
46.0,46,2.797043
48.0,48,2.83545
16.0,16,2.876159
72.0,72,2.937574
40.0,40,2.970042
63.0,63,3.021808
80.0,80,3.115647
42.0,42,3.149457
19.0,19,3.165578
19.0,19,3.184632
23.0,23,3.203818
57.0,57,3.251922
15.0,15,3.264598
12.0,12,3.27467
50.0,50,3.316229
51.0,51,3.385725
113.0,113,3.476091
24.0,24,3.495518
23.0,23,3.514578
60.0,60,3.594568
26.0,26,3.616295
131.0,131,3.72775
21.0,21,3.744823
19.0,19,3.760164
140.0,140,3.899205
28.0,28,3.92169
20.0,20,3.937764
38.0,38,3.968235
70.0,70,4.029544
68.0,68,4.118647
19.0,19,4.13435
17.0,17,4.14842
108.0,108,4.245551
72.0,72,4.332871
73.0,73,4.391956
52.0,52,4.434022
76.0,76,4.496087
53.0,53,4.567347
68.0,68,4.621781
22.0,22,4.640462
24.0,24,4.660819
42.0,42,4.701606
136.0,136,4.842782
96.0,96,4.920057
137.0,137,5.063788
73.0,73,5.124451
57.0,57,5.172838
152.0,152,5.325454
94.0,94,5.400712
314.0,314,5.680416
24.0,24,5.699745
113.0,113,5.818852
153.0,153,5.942055
96.0,96,6.055221
101.0,101,6.14073
70.0,70,6.198967
35.0,35,6.258054
129.0,129,6.364295
60.0,60,6.413775
87.0,87,6.512849
121.0,121,6.611259
203.0,203,6.807144
100.0,100,6.889298
143.0,143,7.038699
196.0,196,7.236542
70.0,70,7.295113
158.0,158,7.465232
37.0,37,7.495969
93.0,93,7.572513
100.0,100,7.654508
123.0,123,7.785113
109.0,109,7.872697
332.0,332,8.214268
393.0,393,8.568745
282.0,282,8.838254
284.0,284,9.111225
280.0,280,9.404172
162.0,162,9.537126
287.0,287,9.801938
451.0,451,10.243876
224.0,224,10.452869
238.0,238,10.675313
154.0,154,10.804822
192.0,192,10.989658
244.0,244,11.214292
446.0,446,11.636141
182.0,182,11.817762
373.0,373,12.145718
500.0,500,12.618767
382.0,382,12.970853
301.0,301,13.282244
500.0,500,13.751662
500.0,500,14.222548
462.0,462,14.634836
299.0,299,14.947729
229.0,229,15.131228
218.0,218,15.341019
500.0,500,15.805577
281.0,281,16.066243
448.0,448,16.503987
449.0,449,16.924328
348.0,348,17.233416
454.0,454,17.656027
213.0,213,17.856886
266.0,266,18.104799
352.0,352,18.432927
229.0,229,18.64849
189.0,189,18.844551
500.0,500,19.367378
500.0,500,19.865114
297.0,297,20.16403
408.0,408,20.573698
286.0,286,20.843184
489.0,489,21.323008
327.0,327,21.616702
500.0,500,22.105778
500.0,500,22.586086
500.0,500,23.056792
325.0,325,23.357541
500.0,500,23.839854
308.0,308,24.125366
405.0,405,24.516293
237.0,237,24.747917
343.0,343,25.062889
275.0,275,25.325433
255.0,255,25.568449
458.0,458,26.013756
500.0,500,26.490777
292.0,292,26.791158
500.0,500,27.292562
277.0,277,27.548786
390.0,390,27.901135
254.0,254,28.139479
305.0,305,28.472859
500.0,500,28.987754
282.0,282,29.253985
270.0,270,29.511759
500.0,500,29.981013
401.0,401,30.345296
500.0,500,30.80985
221.0,221,31.022966
281.0,281,31.286437
253.0,253,31.540215
482.0,482,32.005811
500.0,500,32.474177
500.0,500,32.960639
318.0,318,33.246699
291.0,291,33.526026
500.0,500,33.989106
