timestep,reward
1.600000000000000000e+01,1.600000000000000000e+01
3.500000000000000000e+01,1.900000000000000000e+01
4.900000000000000000e+01,1.400000000000000000e+01
7.700000000000000000e+01,2.800000000000000000e+01
1.010000000000000000e+02,2.400000000000000000e+01
1.200000000000000000e+02,1.900000000000000000e+01
1.380000000000000000e+02,1.800000000000000000e+01
1.720000000000000000e+02,3.400000000000000000e+01
1.850000000000000000e+02,1.300000000000000000e+01
1.950000000000000000e+02,1.000000000000000000e+01
2.160000000000000000e+02,2.100000000000000000e+01
2.280000000000000000e+02,1.200000000000000000e+01
2.410000000000000000e+02,1.300000000000000000e+01
2.550000000000000000e+02,1.400000000000000000e+01
2.680000000000000000e+02,1.300000000000000000e+01
2.860000000000000000e+02,1.800000000000000000e+01
3.030000000000000000e+02,1.700000000000000000e+01
3.180000000000000000e+02,1.500000000000000000e+01
3.410000000000000000e+02,2.300000000000000000e+01
3.590000000000000000e+02,1.800000000000000000e+01
3.730000000000000000e+02,1.400000000000000000e+01
4.080000000000000000e+02,3.500000000000000000e+01
4.510000000000000000e+02,4.300000000000000000e+01
4.620000000000000000e+02,1.100000000000000000e+01
4.750000000000000000e+02,1.300000000000000000e+01
4.880000000000000000e+02,1.300000000000000000e+01
5.080000000000000000e+02,2.000000000000000000e+01
5.480000000000000000e+02,4.000000000000000000e+01
5.630000000000000000e+02,1.500000000000000000e+01
5.820000000000000000e+02,1.900000000000000000e+01
6.080000000000000000e+02,2.600000000000000000e+01
6.330000000000000000e+02,2.500000000000000000e+01
6.490000000000000000e+02,1.600000000000000000e+01
6.850000000000000000e+02,3.600000000000000000e+01
7.010000000000000000e+02,1.600000000000000000e+01
7.290000000000000000e+02,2.800000000000000000e+01
7.420000000000000000e+02,1.300000000000000000e+01
7.570000000000000000e+02,1.500000000000000000e+01
7.720000000000000000e+02,1.500000000000000000e+01
8.380000000000000000e+02,6.600000000000000000e+01
8.510000000000000000e+02,1.300000000000000000e+01
8.870000000000000000e+02,3.600000000000000000e+01
9.280000000000000000e+02,4.100000000000000000e+01
9.590000000000000000e+02,3.100000000000000000e+01
1.015000000000000000e+03,5.600000000000000000e+01
1.033000000000000000e+03,1.800000000000000000e+01
1.072000000000000000e+03,3.900000000000000000e+01
1.104000000000000000e+03,3.200000000000000000e+01
1.132000000000000000e+03,2.800000000000000000e+01
1.148000000000000000e+03,1.600000000000000000e+01
1.183000000000000000e+03,3.500000000000000000e+01
1.199000000000000000e+03,1.600000000000000000e+01
1.228000000000000000e+03,2.900000000000000000e+01
1.247000000000000000e+03,1.900000000000000000e+01
1.262000000000000000e+03,1.500000000000000000e+01
1.274000000000000000e+03,1.200000000000000000e+01
1.289000000000000000e+03,1.500000000000000000e+01
1.307000000000000000e+03,1.800000000000000000e+01
1.324000000000000000e+03,1.700000000000000000e+01
1.343000000000000000e+03,1.900000000000000000e+01
1.376000000000000000e+03,3.300000000000000000e+01
1.393000000000000000e+03,1.700000000000000000e+01
1.405000000000000000e+03,1.200000000000000000e+01
1.420000000000000000e+03,1.500000000000000000e+01
1.432000000000000000e+03,1.200000000000000000e+01
1.444000000000000000e+03,1.200000000000000000e+01
1.467000000000000000e+03,2.300000000000000000e+01
1.486000000000000000e+03,1.900000000000000000e+01
1.511000000000000000e+03,2.500000000000000000e+01
1.549000000000000000e+03,3.800000000000000000e+01
1.576000000000000000e+03,2.700000000000000000e+01
1.592000000000000000e+03,1.600000000000000000e+01
1.607000000000000000e+03,1.500000000000000000e+01
1.632000000000000000e+03,2.500000000000000000e+01
1.656000000000000000e+03,2.400000000000000000e+01
1.697000000000000000e+03,4.100000000000000000e+01
1.711000000000000000e+03,1.400000000000000000e+01
1.729000000000000000e+03,1.800000000000000000e+01
1.744000000000000000e+03,1.500000000000000000e+01
1.757000000000000000e+03,1.300000000000000000e+01
1.808000000000000000e+03,5.100000000000000000e+01
1.838000000000000000e+03,3.000000000000000000e+01
1.872000000000000000e+03,3.400000000000000000e+01
1.904000000000000000e+03,3.200000000000000000e+01
1.923000000000000000e+03,1.900000000000000000e+01
1.935000000000000000e+03,1.200000000000000000e+01
1.945000000000000000e+03,1.000000000000000000e+01
1.967000000000000000e+03,2.200000000000000000e+01
2.052000000000000000e+03,8.500000000000000000e+01
2.066000000000000000e+03,1.400000000000000000e+01
2.091000000000000000e+03,2.500000000000000000e+01
2.109000000000000000e+03,1.800000000000000000e+01
2.138000000000000000e+03,2.900000000000000000e+01
2.150000000000000000e+03,1.200000000000000000e+01
2.169000000000000000e+03,1.900000000000000000e+01
2.191000000000000000e+03,2.200000000000000000e+01
2.234000000000000000e+03,4.300000000000000000e+01
2.270000000000000000e+03,3.600000000000000000e+01
2.286000000000000000e+03,1.600000000000000000e+01
2.302000000000000000e+03,1.600000000000000000e+01
2.318000000000000000e+03,1.600000000000000000e+01
2.396000000000000000e+03,7.800000000000000000e+01
2.439000000000000000e+03,4.300000000000000000e+01
2.455000000000000000e+03,1.600000000000000000e+01
2.492000000000000000e+03,3.700000000000000000e+01
2.509000000000000000e+03,1.700000000000000000e+01
2.533000000000000000e+03,2.400000000000000000e+01
2.550000000000000000e+03,1.700000000000000000e+01
2.564000000000000000e+03,1.400000000000000000e+01
2.593000000000000000e+03,2.900000000000000000e+01
2.634000000000000000e+03,4.100000000000000000e+01
2.663000000000000000e+03,2.900000000000000000e+01
2.680000000000000000e+03,1.700000000000000000e+01
2.700000000000000000e+03,2.000000000000000000e+01
2.739000000000000000e+03,3.900000000000000000e+01
2.777000000000000000e+03,3.800000000000000000e+01
2.795000000000000000e+03,1.800000000000000000e+01
2.806000000000000000e+03,1.100000000000000000e+01
2.834000000000000000e+03,2.800000000000000000e+01
2.875000000000000000e+03,4.100000000000000000e+01
2.888000000000000000e+03,1.300000000000000000e+01
2.940000000000000000e+03,5.200000000000000000e+01
2.955000000000000000e+03,1.500000000000000000e+01
2.968000000000000000e+03,1.300000000000000000e+01
2.986000000000000000e+03,1.800000000000000000e+01
3.069000000000000000e+03,8.300000000000000000e+01
3.080000000000000000e+03,1.100000000000000000e+01
3.113000000000000000e+03,3.300000000000000000e+01
3.131000000000000000e+03,1.800000000000000000e+01
3.148000000000000000e+03,1.700000000000000000e+01
3.165000000000000000e+03,1.700000000000000000e+01
3.189000000000000000e+03,2.400000000000000000e+01
3.210000000000000000e+03,2.100000000000000000e+01
3.224000000000000000e+03,1.400000000000000000e+01
3.241000000000000000e+03,1.700000000000000000e+01
3.277000000000000000e+03,3.600000000000000000e+01
3.297000000000000000e+03,2.000000000000000000e+01
3.356000000000000000e+03,5.900000000000000000e+01
3.377000000000000000e+03,2.100000000000000000e+01
3.418000000000000000e+03,4.100000000000000000e+01
3.465000000000000000e+03,4.700000000000000000e+01
3.480000000000000000e+03,1.500000000000000000e+01
3.535000000000000000e+03,5.500000000000000000e+01
3.552000000000000000e+03,1.700000000000000000e+01
3.593000000000000000e+03,4.100000000000000000e+01
3.638000000000000000e+03,4.500000000000000000e+01
3.679000000000000000e+03,4.100000000000000000e+01
3.691000000000000000e+03,1.200000000000000000e+01
3.746000000000000000e+03,5.500000000000000000e+01
3.759000000000000000e+03,1.300000000000000000e+01
3.830000000000000000e+03,7.100000000000000000e+01
3.850000000000000000e+03,2.000000000000000000e+01
3.879000000000000000e+03,2.900000000000000000e+01
3.914000000000000000e+03,3.500000000000000000e+01
3.932000000000000000e+03,1.800000000000000000e+01
3.970000000000000000e+03,3.800000000000000000e+01
4.033000000000000000e+03,6.300000000000000000e+01
4.092000000000000000e+03,5.900000000000000000e+01
4.109000000000000000e+03,1.700000000000000000e+01
4.134000000000000000e+03,2.500000000000000000e+01
4.185000000000000000e+03,5.100000000000000000e+01
4.214000000000000000e+03,2.900000000000000000e+01
4.289000000000000000e+03,7.500000000000000000e+01
4.303000000000000000e+03,1.400000000000000000e+01
4.341000000000000000e+03,3.800000000000000000e+01
4.420000000000000000e+03,7.900000000000000000e+01
4.435000000000000000e+03,1.500000000000000000e+01
4.472000000000000000e+03,3.700000000000000000e+01
4.509000000000000000e+03,3.700000000000000000e+01
4.551000000000000000e+03,4.200000000000000000e+01
4.570000000000000000e+03,1.900000000000000000e+01
4.634000000000000000e+03,6.400000000000000000e+01
4.654000000000000000e+03,2.000000000000000000e+01
4.693000000000000000e+03,3.900000000000000000e+01
4.734000000000000000e+03,4.100000000000000000e+01
4.785000000000000000e+03,5.100000000000000000e+01
4.803000000000000000e+03,1.800000000000000000e+01
4.856000000000000000e+03,5.300000000000000000e+01
4.895000000000000000e+03,3.900000000000000000e+01
4.928000000000000000e+03,3.300000000000000000e+01
4.942000000000000000e+03,1.400000000000000000e+01
4.959000000000000000e+03,1.700000000000000000e+01
4.979000000000000000e+03,2.000000000000000000e+01
5.021000000000000000e+03,4.200000000000000000e+01
5.030000000000000000e+03,9.000000000000000000e+00
5.054000000000000000e+03,2.400000000000000000e+01
5.086000000000000000e+03,3.200000000000000000e+01
5.103000000000000000e+03,1.700000000000000000e+01
5.161000000000000000e+03,5.800000000000000000e+01
5.222000000000000000e+03,6.100000000000000000e+01
5.238000000000000000e+03,1.600000000000000000e+01
