#{"t_start": 1763486504.285047, "env_id": "CartPole-v1"}
r,l,t
16.0,16,0.994807
19.0,19,1.007042
14.0,14,1.016153
28.0,28,1.034342
24.0,24,1.049865
19.0,19,1.062819
18.0,18,1.074595
34.0,34,1.096722
13.0,13,1.105324
10.0,10,1.111843
21.0,21,1.125528
12.0,12,1.13332
13.0,13,1.141834
14.0,14,1.150926
13.0,13,1.187233
18.0,18,1.200097
17.0,17,1.211733
15.0,15,1.222182
23.0,23,1.238526
18.0,18,1.251346
14.0,14,1.261319
35.0,35,1.286167
43.0,43,1.316694
11.0,11,1.324566
13.0,13,1.333895
13.0,13,1.343187
20.0,20,1.35744
40.0,40,1.412151
15.0,15,1.422909
19.0,19,1.436082
26.0,26,1.454442
25.0,25,1.472212
16.0,16,1.483659
36.0,36,1.509487
16.0,16,1.520895
28.0,28,1.540758
13.0,13,1.550362
15.0,15,1.561016
15.0,15,1.602132
66.0,66,1.64785
13.0,13,1.656864
36.0,36,1.681722
41.0,41,1.710052
31.0,31,1.731502
56.0,56,1.775045
18.0,18,1.817913
39.0,39,1.845566
32.0,32,1.868129
28.0,28,1.887984
16.0,16,1.899343
35.0,35,1.926222
16.0,16,1.939771
29.0,29,1.960964
19.0,19,1.974884
15.0,15,1.986188
12.0,12,1.994773
15.0,15,2.031841
18.0,18,2.045119
17.0,17,2.057237
19.0,19,2.070733
33.0,33,2.094176
17.0,17,2.106241
12.0,12,2.116651
15.0,15,2.155401
12.0,12,2.163913
12.0,12,2.17241
23.0,23,2.188692
19.0,19,2.202101
25.0,25,2.21974
38.0,38,2.27126
27.0,27,2.29078
16.0,16,2.302332
15.0,15,2.313138
25.0,25,2.331146
24.0,24,2.34843
41.0,41,2.377817
14.0,14,2.387906
18.0,18,2.400898
15.0,15,2.411716
13.0,13,2.421091
51.0,51,2.486496
30.0,30,2.507785
34.0,34,2.53187
32.0,32,2.554532
19.0,19,2.568152
12.0,12,2.576871
10.0,10,2.584005
22.0,22,2.599615
85.0,85,2.683956
14.0,14,2.694017
25.0,25,2.71177
18.0,18,2.724093
29.0,29,2.743883
12.0,12,2.752156
19.0,19,2.765334
